日期,客流
4月19日,504.7
4月18日,504.61
4月17日,263.69
4月16日,281.6
4月15日,484.96
4月14日,458
4月13日,469.11
4月12日,464.98
4月11日,462.21
4月10日,223.09
4月9日,250.55
4月8日,451.52
4月7日,435.08
4月6日,459.4
4月5日,255.99
4月4日,233.68
4月3日,330.51
4月2日,581.9
4月1日,577.02
3月31日,561.66
3月30日,564.83
3月29日,564.08
3月28日,574.18
3月27日,399.38
3月26日,400.08
3月25日,610.1
3月24日,560.26
3月23日,565.7
3月22日,567.63
3月21日,570.81
3月20日,338.26
3月19日,423.49
3月18日,602.45
3月17日,558.73
3月16日,559.92
3月15日,562.13
3月14日,567.45
3月13日,389.69
3月12日,435.42
3月11日,607.18
3月10日,534.46
3月9日,526.39
3月8日,545.39
3月7日,527.58
3月6日,318.38
3月5日,343.63
3月4日,522.66
3月3日,479.23
3月2日,473.1
3月1日,469.03
,
,
,
,
,
,
,
,
,
,
