站名,线路名
五根松,1号线
广都,1号线
科学城,1号线
兴隆湖,1号线
广州路,1号线
西博城,1号线
天府公园,1号线
武汉路,1号线
麓湖,1号线
红石公园,1号线
广福,1号线
海昌路,1号线
华阳,1号线
四河,1号线
华府大道,1号线
天府五街,1号线
天府三街,1号线
世纪城,1号线
锦城广场,1号线
孵化园,1号线
金融城,1号线
高新,1号线
火车南站,1号线
桐梓林,1号线
倪家桥,1号线
省体育馆,1号线
华西坝,1号线
锦江宾馆,1号线
天府广场,1号线
骡马市,1号线
文殊院,1号线
人民北路,1号线
火车北站,1号线
升仙湖,1号线
韦家碾,1号线
犀浦,2号线
天河路,2号线
百草路,2号线
金周路,2号线
金科北路,2号线
迎宾大道,2号线
茶店子客运站,2号线
羊犀立交,2号线
一品天下,2号线
蜀汉路东,2号线
白果林,2号线
中医大省医院,2号线
通惠门,2号线
人民公园,2号线
天府广场,2号线
春熙路,2号线
东门大桥,2号线
牛王庙,2号线
牛市口,2号线
东大路,2号线
塔子山公园,2号线
成都东客站,2号线
成渝立交,2号线
惠王陵,2号线
洪河,2号线
成都行政学院,2号线
大面铺,2号线
连山坡,2号线
界牌,2号线
书房,2号线
龙平路,2号线
龙泉驿,2号线
成都医学院,3号线
石油大学,3号线
钟楼,3号线
马超西路,3号线
团结新区,3号线
锦水河,3号线
三河场,3号线
金华寺东路,3号线
植物园,3号线
军区总医院,3号线
熊猫大道,3号线
动物园,3号线
昭觉寺南路,3号线
驷马桥,3号线
李家沱,3号线
前锋路,3号线
红星桥,3号线
市二医院,3号线
春熙路,3号线
新南门,3号线
磨子桥,3号线
省体育馆,3号线
衣冠庙,3号线
高升桥,3号线
红牌楼,3号线
太平园,3号线
川藏立交,3号线
武侯立交,3号线
武青南路,3号线
双凤桥,3号线
龙桥路,3号线
航都大街,3号线
迎春桥,3号线
东升,3号线
双流广场,3号线
三里坝,3号线
双流西站,3号线
西河,4号线
明蜀王陵,4号线
成都大学,4号线
十陵,4号线
来龙,4号线
槐树店,4号线
万年场,4号线
双桥路,4号线
玉双路,4号线
市二医院,4号线
太升南路,4号线
骡马市,4号线
宽窄巷子,4号线
中医大省医院,4号线
草堂北路,4号线
西南财大,4号线
文化宫,4号线
清江西路,4号线
成都西站,4号线
中坝,4号线
蔡桥,4号线
非遗博览园,4号线
马厂坝,4号线
凤凰大街,4号线
涌泉,4号线
光华公园,4号线
南熏大道,4号线
凤溪河,4号线
杨柳河,4号线
万盛,4号线
华桂路,5号线
柏水场,5号线
廖家湾,5号线
北部商贸城,5号线
幸福桥,5号线
九道堰,5号线
杜家碾,5号线
大丰,5号线
石犀公园,5号线
皇花园,5号线
陆家桥,5号线
泉水路,5号线
洞子口,5号线
福宁路,5号线
五块石,5号线
赛云台,5号线
北站西二路,5号线
西北桥,5号线
花牌坊,5号线
抚琴,5号线
中医大省医院,5号线
青羊宫,5号线
省骨科医院,5号线
高升桥,5号线
科园,5号线
九兴大道,5号线
神仙树,5号线
石羊立交,5号线
市一医院,5号线
交子大道,5号线
锦城大道,5号线
锦城湖,5号线
大源,5号线
民乐,5号线
骑龙,5号线
警官学院,5号线
二江寺,5号线
南湖立交,5号线
怡心湖,5号线
龙马路,5号线
回龙,5号线
望丛祠,6号线
和平街,6号线
郫筒,6号线
蜀新大道,6号线
檬梓,6号线
尚锦路,6号线
红高路,6号线
天宇路,6号线
犀浦,6号线
兴业北街,6号线
梓潼宫,6号线
侯家桥,6号线
兴盛,6号线
青杠,6号线
西华大道,6号线
金府,6号线
星河,6号线
西南交大,6号线
沙湾,6号线
西北桥,6号线
人民北路,6号线
梁家巷,6号线
前锋路,6号线
建设北路,6号线
新鸿路,6号线
玉双路,6号线
牛王庙,6号线
顺江路,6号线
三官堂,6号线
东光,6号线
琉璃场,6号线
琉三路,6号线
金石路,6号线
金融城东,6号线
中和,6号线
张家寺,6号线
陆肖,6号线
观东,6号线
新通大道,6号线
新川路,6号线
龙灯山,6号线
蒲草塘,6号线
万安,6号线
麓山大道,6号线
沈阳路,6号线
青岛路,6号线
昌公堰,6号线
杭州路,6号线
天府商务区,6号线
西博城,6号线
秦皇寺,6号线
松林,6号线
芦角,6号线
钓鱼嘴,6号线
回龙,6号线
兰家沟,6号线
火车北站,7号线
北站西二路,7号线
九里堤,7号线
西南交大,7号线
花照壁,7号线
茶店子,7号线
一品天下,7号线
金沙博物馆,7号线
文化宫,7号线
东坡路,7号线
龙爪堰,7号线
武侯大道,7号线
太平园,7号线
高朋大道,7号线
神仙树,7号线
火车南站,7号线
三瓦窑,7号线
琉璃场,7号线
四川师大,7号线
狮子山,7号线
大观,7号线
成都东客站,7号线
迎晖路,7号线
槐树店,7号线
双店路,7号线
崔家店,7号线
理工大学,7号线
二仙桥,7号线
八里庄,7号线
府青路,7号线
驷马桥,7号线
十里店,8号线
理工大学,8号线
东郊记忆,8号线
杉板桥,8号线
万年路,8号线
双桥路,8号线
东大路,8号线
净居寺,8号线
东光,8号线
东湖公园,8号线
川大望江校区,8号线
倪家桥,8号线
芳草街,8号线
永丰,8号线
九兴大道,8号线
高朋大道,8号线
殷家林,8号线
庆安,8号线
石羊,8号线
三元,8号线
顺风,8号线
