sta,line,lng,lat
五根松,1号线,104.087977,30.507643
广都,1号线,104.082319,30.516661
科学城,1号线,104.078763,30.397344
兴隆湖,1号线,104.082948,30.411095
广州路,1号线,104.0839,30.424744
西博城,1号线,104.082442,30.430495
天府公园,1号线,104.084322,30.439036
武汉路,1号线,104.079948,30.448696
麓湖,1号线,104.079669,30.460511
红石公园,1号线,104.079139,30.470238
广福,1号线,104.075886,30.484318
海昌路,1号线,104.077465,30.498881
华阳,1号线,104.077037,30.50938
四河,1号线,104.076363,30.522797
华府大道,1号线,104.075945,30.531748
天府五街,1号线,104.075468,30.542953
天府三街,1号线,104.075175,30.552622
世纪城,1号线,104.075143,30.560685
锦城广场,1号线,104.073145,30.57379
孵化园,1号线,104.070824,30.581641
金融城,1号线,104.070573,30.588679
高新,1号线,104.070277,30.600337
火车南站,1号线,104.073663,30.610881
桐梓林,1号线,104.073642,30.621375
倪家桥,1号线,104.072895,30.630932
省体育馆,1号线,104.072783,30.639472
华西坝,1号线,104.072743,30.649044
锦江宾馆,1号线,104.072506,30.656241
天府广场,1号线,104.072422,30.663429
骡马市,1号线,104.072169,30.672684
文殊院,1号线,104.074467,30.678443
人民北路,1号线,104.079208,30.691592
火车北站,1号线,104.08027,30.701344
升仙湖,1号线,104.089935,30.710639
韦家碾,1号线,104.093568,30.723298
犀浦,2号线,103.977365,30.763718
天河路,2号线,103.982887,30.75158
百草路,2号线,103.985918,30.738784
金周路,2号线,104.002639,30.727445
金科北路,2号线,104.013161,30.726773
迎宾大道,2号线,104.020016,30.719312
茶店子客运站,2号线,104.019831,30.711968
羊犀立交,2号线,104.018963,30.700215
一品天下,2号线,104.026772,30.695227
蜀汉路东,2号线,104.035389,30.689271
白果林,2号线,104.039623,30.67998
中医大省医院,2号线,104.047256,30.672356
通惠门,2号线,104.054964,30.668421
人民公园,2号线,104.063061,30.665527
天府广场,2号线,104.072422,30.663429
春熙路,2号线,104.086002,30.659204
东门大桥,2号线,104.09391,30.654069
牛王庙,2号线,104.100273,30.650562
牛市口,2号线,104.114378,30.64367
东大路,2号线,104.119101,30.639263
塔子山公园,2号线,104.129834,30.635384
成都东客站,2号线,104.147356,30.635147
成渝立交,2号线,104.153767,30.631205
惠王陵,2号线,104.15868,30.618259
洪河,2号线,104.164163,30.611088
成都行政学院,2号线,104.176909,30.603493
大面铺,2号线,104.207676,30.598356
连山坡,2号线,104.219417,30.593276
界牌,2号线,104.231751,30.588479
书房,2号线,104.248644,30.581505
龙平路,2号线,104.265307,30.579158
龙泉驿,2号线,104.274366,30.566277
成都医学院,3号线,104.201255,30.822907
石油大学,3号线,104.192856,30.824877
钟楼,3号线,104.181805,30.827229
马超西路,3号线,104.171033,30.819334
团结新区,3号线,104.165241,30.810862
锦水河,3号线,104.159446,30.803482
三河场,3号线,104.145337,30.79081
金华寺东路,3号线,104.131822,30.776138
植物园,3号线,104.127745,30.76898
军区总医院,3号线,104.120706,30.750384
熊猫大道,3号线,104.114584,30.731354
动物园,3号线,104.109792,30.719397
昭觉寺南路,3号线,104.103393,30.708587
驷马桥,3号线,104.100604,30.701188
李家沱,3号线,104.10106,30.695204
前锋路,3号线,104.099127,30.684027
红星桥,3号线,104.096977,30.676872
市二医院,3号线,104.091107,30.666393
春熙路,3号线,104.086002,30.659204
新南门,3号线,104.081674,30.650251
磨子桥,3号线,104.08249,30.64325
省体育馆,3号线,104.072783,30.639472
衣冠庙,3号线,104.058645,30.6407
高升桥,3号线,104.048664,30.646067
红牌楼,3号线,104.036032,30.640808
太平园,3号线,104.027774,30.631577
川藏立交,3号线,104.012676,30.628796
武侯立交,3号线,103.999961,30.632698
武青南路,3号线,103.991732,30.628833
双凤桥,3号线,103.975711,30.621603
龙桥路,3号线,103.950046,30.610018
航都大街,3号线,103.943354,30.597347
迎春桥,3号线,103.941515,30.586976
东升,3号线,103.931929,30.577676
双流广场,3号线,103.926732,30.570888
三里坝,3号线,103.920933,30.559876
双流西站,3号线,103.923909,30.549502
西河,4号线,104.226824,30.65299
明蜀王陵,4号线,104.202963,30.653987
成都大学,4号线,104.188074,30.652963
十陵,4号线,104.179131,30.652199
来龙,4号线,104.170609,30.653334
槐树店,4号线,104.145913,30.65598
万年场,4号线,104.125666,30.650093
